CountyState,Pop,county,state
"Autauga County, Alabama",55869,Autauga,Alabama
"Baldwin County, Alabama",223234,Baldwin,Alabama
"Barbour County, Alabama",24686,Barbour,Alabama
"Bibb County, Alabama",22394,Bibb,Alabama
"Blount County, Alabama",57826,Blount,Alabama
"Bullock County, Alabama",10101,Bullock,Alabama
"Butler County, Alabama",19448,Butler,Alabama
"Calhoun County, Alabama",113605,Calhoun,Alabama
"Chambers County, Alabama",33254,Chambers,Alabama
"Cherokee County, Alabama",26196,Cherokee,Alabama
"Chilton County, Alabama",44428,Chilton,Alabama
"Choctaw County, Alabama",12589,Choctaw,Alabama
"Clarke County, Alabama",23622,Clarke,Alabama
"Clay County, Alabama",13235,Clay,Alabama
"Cleburne County, Alabama",14910,Cleburne,Alabama
"Coffee County, Alabama",52342,Coffee,Alabama
"Colbert County, Alabama",55241,Colbert,Alabama
"Conecuh County, Alabama",12067,Conecuh,Alabama
"Coosa County, Alabama",10663,Coosa,Alabama
"Covington County, Alabama",37049,Covington,Alabama
"Crenshaw County, Alabama",13772,Crenshaw,Alabama
"Cullman County, Alabama",83768,Cullman,Alabama
"Dale County, Alabama",49172,Dale,Alabama
"Dallas County, Alabama",37196,Dallas,Alabama
"DeKalb County, Alabama",71513,DeKalb,Alabama
"Elmore County, Alabama",81209,Elmore,Alabama
"Escambia County, Alabama",36633,Escambia,Alabama
"Etowah County, Alabama",102268,Etowah,Alabama
"Fayette County, Alabama",16302,Fayette,Alabama
"Franklin County, Alabama",31362,Franklin,Alabama
"Geneva County, Alabama",26271,Geneva,Alabama
"Greene County, Alabama",8111,Greene,Alabama
"Hale County, Alabama",14651,Hale,Alabama
"Henry County, Alabama",17205,Henry,Alabama
"Houston County, Alabama",105882,Houston,Alabama
"Jackson County, Alabama",51626,Jackson,Alabama
"Jefferson County, Alabama",658573,Jefferson,Alabama
"Lamar County, Alabama",13805,Lamar,Alabama
"Lauderdale County, Alabama",92729,Lauderdale,Alabama
"Lawrence County, Alabama",32924,Lawrence,Alabama
"Lee County, Alabama",164542,Lee,Alabama
"Limestone County, Alabama",98915,Limestone,Alabama
"Lowndes County, Alabama",9726,Lowndes,Alabama
"Macon County, Alabama",18068,Macon,Alabama
"Madison County, Alabama",372909,Madison,Alabama
"Marengo County, Alabama",18863,Marengo,Alabama
"Marion County, Alabama",29709,Marion,Alabama
"Marshall County, Alabama",96774,Marshall,Alabama
"Mobile County, Alabama",413210,Mobile,Alabama
"Monroe County, Alabama",20733,Monroe,Alabama
"Montgomery County, Alabama",226486,Montgomery,Alabama
"Morgan County, Alabama",119679,Morgan,Alabama
"Perry County, Alabama",8923,Perry,Alabama
"Pickens County, Alabama",19930,Pickens,Alabama
"Pike County, Alabama",33114,Pike,Alabama
"Randolph County, Alabama",22722,Randolph,Alabama
"Russell County, Alabama",57961,Russell,Alabama
"St. Clair County, Alabama",89512,St.Clair,Alabama
"Shelby County, Alabama",217702,Shelby,Alabama
"Sumter County, Alabama",12427,Sumter,Alabama
"Talladega County, Alabama",79978,Talladega,Alabama
"Tallapoosa County, Alabama",40367,Tallapoosa,Alabama
"Tuscaloosa County, Alabama",209355,Tuscaloosa,Alabama
"Walker County, Alabama",63521,Walker,Alabama
"Washington County, Alabama",16326,Washington,Alabama
"Wilcox County, Alabama",10373,Wilcox,Alabama
"Winston County, Alabama",23629,Winston,Alabama
"Aleutians East Borough, Alaska",3337,#VALUE!,Alaska
"Aleutians West Census Area, Alaska",5634,#VALUE!,Alaska
"Anchorage Municipality, Alaska",288000,#VALUE!,Alaska
"Bethel Census Area, Alaska",18386,#VALUE!,Alaska
"Bristol Bay Borough, Alaska",836,#VALUE!,Alaska
"Denali Borough, Alaska",2097,#VALUE!,Alaska
"Dillingham Census Area, Alaska",4916,#VALUE!,Alaska
"Fairbanks North Star Borough, Alaska",96849,#VALUE!,Alaska
"Haines Borough, Alaska",2530,#VALUE!,Alaska
"Hoonah-Angoon Census Area, Alaska",2148,#VALUE!,Alaska
"Juneau City and Borough, Alaska",31974,#VALUE!,Alaska
"Kenai Peninsula Borough, Alaska",58708,#VALUE!,Alaska
"Ketchikan Gateway Borough, Alaska",13901,#VALUE!,Alaska
"Kodiak Island Borough, Alaska",12998,#VALUE!,Alaska
"Kusilvak Census Area, Alaska",8314,#VALUE!,Alaska
"Lake and Peninsula Borough, Alaska",1592,#VALUE!,Alaska
"Matanuska-Susitna Borough, Alaska",108317,#VALUE!,Alaska
"Nome Census Area, Alaska",10004,#VALUE!,Alaska
"North Slope Borough, Alaska",9832,#VALUE!,Alaska
"Northwest Arctic Borough, Alaska",7621,#VALUE!,Alaska
"Petersburg Borough, Alaska",3266,#VALUE!,Alaska
"Prince of Wales-Hyder Census Area, Alaska",6203,#VALUE!,Alaska
"Sitka City and Borough, Alaska",8493,#VALUE!,Alaska
"Skagway Municipality, Alaska",1183,#VALUE!,Alaska
"Southeast Fairbanks Census Area, Alaska",6893,#VALUE!,Alaska
"Valdez-Cordova Census Area, Alaska",9202,#VALUE!,Alaska
"Wrangell City and Borough, Alaska",2502,#VALUE!,Alaska
"Yakutat City and Borough, Alaska",579,#VALUE!,Alaska
"Yukon-Koyukuk Census Area, Alaska",5230,#VALUE!,Alaska
"Apache County, Arizona",71887,Apache,Arizona
"Cochise County, Arizona",125922,Cochise,Arizona
"Coconino County, Arizona",143476,Coconino,Arizona
"Gila County, Arizona",54018,Gila,Arizona
"Graham County, Arizona",38837,Graham,Arizona
"Greenlee County, Arizona",9498,Greenlee,Arizona
"La Paz County, Arizona",21108,LaPaz,Arizona
"Maricopa County, Arizona",4485414,Maricopa,Arizona
"Mohave County, Arizona",212181,Mohave,Arizona
"Navajo County, Arizona",110924,Navajo,Arizona
"Pima County, Arizona",1047279,Pima,Arizona
"Pinal County, Arizona",462789,Pinal,Arizona
"Santa Cruz County, Arizona",46498,SantaCruz,Arizona
"Yavapai County, Arizona",235099,Yavapai,Arizona
"Yuma County, Arizona",213787,Yuma,Arizona
"Arkansas County, Arkansas",17486,Arkansas,Arkansas
"Ashley County, Arkansas",19657,Ashley,Arkansas
"Baxter County, Arkansas",41932,Baxter,Arkansas
"Benton County, Arkansas",279141,Benton,Arkansas
"Boone County, Arkansas",37432,Boone,Arkansas
"Bradley County, Arkansas",10763,Bradley,Arkansas
"Calhoun County, Arkansas",5189,Calhoun,Arkansas
"Carroll County, Arkansas",28380,Carroll,Arkansas
"Chicot County, Arkansas",10118,Chicot,Arkansas
"Clark County, Arkansas",22320,Clark,Arkansas
"Clay County, Arkansas",14551,Clay,Arkansas
"Cleburne County, Arkansas",24919,Cleburne,Arkansas
"Cleveland County, Arkansas",7956,Cleveland,Arkansas
"Columbia County, Arkansas",23457,Columbia,Arkansas
"Conway County, Arkansas",20846,Conway,Arkansas
"Craighead County, Arkansas",110332,Craighead,Arkansas
"Crawford County, Arkansas",63257,Crawford,Arkansas
"Crittenden County, Arkansas",47955,Crittenden,Arkansas
"Cross County, Arkansas",16419,Cross,Arkansas
"Dallas County, Arkansas",7009,Dallas,Arkansas
"Desha County, Arkansas",11361,Desha,Arkansas
"Drew County, Arkansas",18219,Drew,Arkansas
"Faulkner County, Arkansas",126007,Faulkner,Arkansas
"Franklin County, Arkansas",17715,Franklin,Arkansas
"Fulton County, Arkansas",12477,Fulton,Arkansas
"Garland County, Arkansas",99386,Garland,Arkansas
"Grant County, Arkansas",18265,Grant,Arkansas
"Greene County, Arkansas",45325,Greene,Arkansas
"Hempstead County, Arkansas",21532,Hempstead,Arkansas
"Hot Spring County, Arkansas",33771,HotSpring,Arkansas
"Howard County, Arkansas",13202,Howard,Arkansas
"Independence County, Arkansas",37825,Independence,Arkansas
"Izard County, Arkansas",13629,Izard,Arkansas
"Jackson County, Arkansas",16719,Jackson,Arkansas
"Jefferson County, Arkansas",66824,Jefferson,Arkansas
"Johnson County, Arkansas",26578,Johnson,Arkansas
"Lafayette County, Arkansas",6624,Lafayette,Arkansas
"Lawrence County, Arkansas",16406,Lawrence,Arkansas
"Lee County, Arkansas",8857,Lee,Arkansas
"Lincoln County, Arkansas",13024,Lincoln,Arkansas
"Little River County, Arkansas",12259,LittleRiver,Arkansas
"Logan County, Arkansas",21466,Logan,Arkansas
"Lonoke County, Arkansas",73309,Lonoke,Arkansas
"Madison County, Arkansas",16576,Madison,Arkansas
"Marion County, Arkansas",16694,Marion,Arkansas
"Miller County, Arkansas",43257,Miller,Arkansas
"Mississippi County, Arkansas",40651,Mississippi,Arkansas
"Monroe County, Arkansas",6701,Monroe,Arkansas
"Montgomery County, Arkansas",8986,Montgomery,Arkansas
"Nevada County, Arkansas",8252,Nevada,Arkansas
"Newton County, Arkansas",7753,Newton,Arkansas
"Ouachita County, Arkansas",23382,Ouachita,Arkansas
"Perry County, Arkansas",10455,Perry,Arkansas
"Phillips County, Arkansas",17782,Phillips,Arkansas
"Pike County, Arkansas",10718,Pike,Arkansas
"Poinsett County, Arkansas",23528,Poinsett,Arkansas
"Polk County, Arkansas",19964,Polk,Arkansas
"Pope County, Arkansas",64072,Pope,Arkansas
"Prairie County, Arkansas",8062,Prairie,Arkansas
"Pulaski County, Arkansas",391911,Pulaski,Arkansas
"Randolph County, Arkansas",17958,Randolph,Arkansas
